id,name,artists,duration_ms
6DCZcSspjsKoFjzjrWoCd,God's Plan,Drake,198973
3ee8Jmje8o58CHK66QrVC,SAD!,XXXTENTACION,166606
0e7ipj03S05BNilyu5bRz,rockstar (feat. 21 Savage),Post Malone,218147
3swc6WTsr7rl9DqQKQA55,Psycho (feat. Ty Dolla $ign),Post Malone,221440
2G7V7zsVDxg1yRsu7Ew9R,In My Feelings,Drake,217925
7dt6x5M1jzdTEt8oCbisT,Better Now,Post Malone,231267
58q2HKrzhC3ozto2nDdN4,I Like It,Cardi B,253390
7ef4DlsgrMEH11cDZd32M,One Kiss (with Dua Lipa),Calvin Harris,214847
76cy1WJvNGJTj78UqeA5z,IDGAF,Dua Lipa,217947
08bNPGLD8AhKpnnERrAc6,FRIENDS,Marshmello,202621
1rfofaqEpACxVEHIZBJe6,Havana,Camila Cabello,217307
0s3nnoMeVWz3989MkNQiR,Lucid Dreams,Juice WRLD,239836
3CA9pLiwRIGtUBiMjbZmR,Nice For What,Drake,210747
7fa9MBXhVfQ8P8Df9OEbD,Girls Like You (feat. Cardi B),Maroon 5,235545
09IStsImFySgyp0pIQdqA,The Middle,Zedd,184732
3GCdLUSnKSMJhs4Tj6CV3,All The Stars (with SZA),Kendrick Lamar,232187
2qT1uLXPVPzGgFOx4jtEu,no tears left to cry,Ariana Grande,205920
39N9RPD9MRb5WmoLzNzPe,X,Nicky Jam,173628
0JP9xo3adEtGSdUEISisz,Moonlight,XXXTENTACION,135090
4qKcDkK6siZ7Jp1Jb4m0a,Look Alive (feat. Drake),BlocBoy JB,181263
5CLGzJsGqhCEECcpnFQA8,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,210773
3V8UKqhEK5zBkBb6d6ub8,Te Bot? - Remix,Nio Garcia,417920
7uzmGiiJyRfuViKKK3lVm,Mine,Bazzi,131064
2iUXsYOEPhVqEBwsqP70r,Youngblood,5 Seconds of Summer,203418
2xJCMIJfcNYDc5iR0sAm2,New Rules,Dua Lipa,209320
7qiZfU4dY1lWllzX7mPBI,Shape of You,Ed Sheeran,233713
45Egmo7icyopuzJN0oMEd,Love Lies (with Normani),Khalid,201707
4e4fqjx0Izh4svvTef1z7,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,164205
7m9OqQk4RVRkw9JJdeAw9,Jocelyn Flores,XXXTENTACION,119133
0tgVpDi06FyKpA1z0VMD4,Perfect,Ed Sheeran,263400
5IaHrVsrferBYDm0bDyAB,Taste (feat. Offset),Tyga,232959
6kPJZM97LwdG9QIsT7khp,Solo (feat. Demi Lovato),Clean Bandit,222653
75ZvA4QfFiZvzhj2xkaWA,I Fall Apart,Post Malone,223347
63SevszngYpZOwf63o61K,Nevermind,Dennis Lloyd,156600
2hl6q70unbviGo3g1R7uF,?chame La Culpa,Luis Fonsi,173720
0d2iYfpKoM0QCKvcLCkBa,Eastside (with Halsey & Khalid),benny blanco,173800
4eWQlBRaTjPPUlzacqEeo,Never Be the Same,Camila Cabello,226973
0tBbt8CrmxbjRP0pueQky,Wolves,Selena Gomez,197993
7AFASza1mXqntmGtbxXpr,changes,XXXTENTACION,121887
0E9ZjEAyAwOXZ7wJC0PD3,In My Mind,Dynoro,184560
1cS0TgbR263ey9jn0MwD2,River (feat. Ed Sheeran),Eminem,221013
6KuqAtoeVzxAYOaMveLNp,Dura,Daddy Yankee,200480
2xLMifQCjDGFmkHkpNLD9,SICKO MODE,Travis Scott,312820
1zB4vmk8tFRmM9UULNzbL,Thunder,Imagine Dragons,187147
6jA8JUuPCGYjFcgw0AoM5,Me Niego,Reik,221653
4kWO6O1BUXcZmaxitpVUw,Jackie Chan,Ti?sto,215760
3Vo4wInECJQuz9BIBMOu8,Finesse (Remix) [feat. Cardi B],Bruno Mars,217289
4hQ6UGyWQIGJmHSo0J88J,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez,207905
52okn5MNA47tk87PeZJLE,Let You Down,NF,212120
1gm616Plq4ScqNi7TVkZ5,Call Out My Name,The Weeknd,228373
7sO5G9EABYOXQKNPNiE9N,Ric Flair Drip (& Metro Boomin),Offset,172800
2dpaYNEQHiRxtZbfNsse9,Happier,Marshmello,214290
1mXVgsBdtIVeCLJnSnmtd,Too Good At Goodbyes,Sam Smith,201000
10Igtw8bSDyyFs7KIsKng,Freaky Friday (feat. Chris Brown),Lil Dicky,216632
0pqnGHJpmpxLKifKRmU6W,Believer,Imagine Dragons,204347
2E124GmJRnBJuXbTb4cPU,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,179405
3KLygy1YWhmrQx0GRs7IO,Rise,Jonas Blue,194408
7K7MUBCnzgBAvMVW2RTWN,Body (feat. brando),Loud Luxury,163216
7GX5flRQZVHRAGd6B4TmD,XO TOUR Llif3,Lil Uzi Vert,182707
2ijef6ni2amuunRoKTlgw,Sin Pijama,Becky G,188560
2BgEsaKNfHUdlh97KmvFy,2002,Anne-Marie,186987
0TlLq3lA83rQOYtrqBqSc,Nonstop,Drake,238614
7AQim7LbvFVZJE3O8TYgf,Fuck Love (feat. Trippie Redd),XXXTENTACION,146520
2QZ7WLBE8h2y1Y5Fb8RYb,In My Blood,Shawn Mendes,211360
7vGuf3Y35N4wmASOKLUVV,Silence,Marshmello,180823
5OCJzvD7sykQEKHH7qAC3,God is a woman,Ariana Grande,197547
1j6xOGusnyXq3l6IryKF3,D?jala que vuelva (feat. Manuel Turizo),Piso 21,220117
66BjcDhhwWCcQIBxHMpKX,Flames,David Guetta,194680
0WdGQhoAP2LBsqr5Jhit2,What Lovers Do,Maroon 5,199849
4w8niZpiMy6qz1mntFA5u,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,212500
5Gu0PDLN4YJeW75PpBSg9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,174800
6QgjcU0zLnzq5OrUoSZ3O,Feel It Still,Portugal. The Man,163253
77UjLW8j5UAGAGVGhR5oU,Pray For Me (with Kendrick Lamar),The Weeknd,211440
6n4U3TlzUGhdSFbUUhTvL,Walk It Talk It,Migos,276147
5k38wzpLb15YgncyWdTZE,Him & I (with Halsey),G-Eazy,268867
32lItqlMi4LBhb4k0BaSa,Candy Paint,Post Malone,227533
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,220293
4QtiVmuA88tPQiCOHZuQ5,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,201526
6Za3190Sbw39BBC77WSS1,Criminal,Natti Natasha,232550
1ZAyjvIk9YiD76yYy0TEG,Plug Walk,Rich The Kid,175230
0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,200186
2UVbBKQOdFAekPTRsnkzc,Stir Fry,Migos,190288
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,177000
48zFZh27QU5qsrBjn4C2F,Vaina Loca,Ozuna,176133
1bhUWB0zJMIKr9yVPrkEu,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,259550
5cepAtqnEQ6yVG6088zMM,Coraz?n (feat. Nego do Borel),Maluma,184720
5Z3GHaZ6ec9bsiI5Benrb,Young Dumb & Broke,Khalid,202547
5Y9fnynLlIvqtM710MHzf,S?guelo Bailando,Ozuna,226800
3Ga6eKrUFf12ouh9Yw3v2,Downtown,Anitta,193456
3xcCix7Jv1Rp90YVmgo35,Bella,Wolfine,197120
5N5k9nd479b1xpDZ4usjr,Promises (with Sam Smith),Calvin Harris,213309
6vN77lE9LK6HP2DewaN6H,Yes Indeed,Lil Baby,142273
2P91MQbaiQOfbiz9VqhqK,I Like Me Better,Lauv,197437
2xGjteMU3E1tkEPVFBO08,This Is Me,Keala Settle,234707
3GVkPk8mqxz0itaAriG1L,Everybody Dies In Their Nightmares,XXXTENTACION,95467
630sXRhIcfwr2e4RdNtjK,Rewrite The Stars,Zac Efron,217440
2xmrfQpmS2iJExTlklLoA,I Miss You (feat. Julia Michaels),Clean Bandit,205748
5WvAo7DNuPRmk4APhdPzi,No Brainer,DJ Khaled,260000
1j4kHkkpqZRBwE0A4CN4Y,Dusk Till Dawn - Radio Edit,ZAYN,239000
3EPXxR3ImUwfayaurPi3c,Be Alright,Dean Lewis,196373
